Paraula,Definicio
neu congesta,['Neu amb bombolles d’aire barrejades entre els cristalls de glaç.']
neu humida,"['Neu dipositada a terra formant tolls perquè es troba parcialment fosa, raó per la qual perd la blancor i passa a ser més translúcida.']"
neu mullada,"['Neu dipositada a terra, saturada d’aigua líquida perquè hi ha plogut a sobre i ha impregnat els porus entre la neu, com una esponja.']"
neu pols,['Neu dipositada recentment i constituïda per cristalls de gel esparsos.']
neu primavera,['Neu que s’ha humitejat i constitueix grànuls.']
neu rodona,['Calamarsa.']
neu seca,"['Neu dipositada a terra de forma recent, formant un conjunt de volves soltes i escampades.']"
neu perpètua,"['El descens de la temperatura a mesura que l’altitud creix té com a conseqüència que a tots els països, a una certa altitud, hi hagi una regió on el termòmetre no puja sinó poques vegades més amunt de 0 °C. A aquesta alçària, ni estiu ni hivern l’aigua no s’hi troba a l’estat líquid; de vapor atmosfèric passa directament a glaç, i en lloc de pluges s’hi tenen tot l’any nevades. És la regió de les neus perpètues. A la zona tòrrida, és a uns 5.000 metres d’altitud. A Catalunya, on la temperatura mitjana de juliol (que és el temps més calent de l’any) és d’uns 25° al nivell del mar, la regió de les neus perpètues passa un xic més alta que els cims més alts dels Pirineus; en canvi, a Suïssa, on passa ja més baixa, els cims dels Alps s’hi troben ficats de ple, i a les proximitats dels pols terrestres la regió de les neus perpètues davalla fins al nivell del mar.']"
neu persistent,"['Tot i no assolir l’altitud de les neus perpètues, moltes muntanyes estan cobertes de neu tot l’any; és neu persistent, que es va desglaçant durant l’estiu, però que no arriba a fondre’s del tot, i en venir les primeres nevades de tardor s’hi troben encara restes de la neu vella. Així és com duren tot l’any la gelera de l’Aneto i moltes congestes del Pirineu, que estan formades de neu persistent. En el llenguatge literari, és costum qualificar les neus persistents de perpètues o eternes.']"
neu sorra,['Neu que es diposita a temperatures molt baixes i que té una consistència semblant a la sorra seca i lleugera.']
neu ventada,['Neu que pren una consistència densa per l’acció del vent en precipitar-se al cap de poc temps.']
neutropausa,['Zona que separa la neutrosfera de la ionosfera.']
neutrosfera,['Capa esfèrica de l’atmosfera en la qual la presència d’electrons lliures o ions no és gaire notable i s’estén des de la superfície terrestre fins a la ionosfera.']
nevada,"['Quantitat de neu que s’ha acumulat al sòl a conseqüència de la precipitació de neu.', 'Precipitació en forma de neu.']"
nimboestrat,['Nimboestratus.']
nimboestratus,"['Nuvolada gran i gruixuda de base baixa, però sempre amb predomini de la seva dimensió horitzontal. La base és plujosa i de color gris fosc, gairebé uniforme. Nuvolada baixa, amorfa i plujosa, de color gris fosc gairebé uniforme.']"
nimbostratus,['Nimboestratus.']
Ns,['Símbol de nimboestratus.']
nimbus,['Nimbus.']
Nb,['Símbol de nimbus.']
fractonimbus,['Vegeu nimbus.']
nit roent,['Nit en què la temperatura mínima és superior als 30 °C.']
nit tòrrida,['Nit en què la temperatura mínima és superior als 25 °C.']
nit tropical,['Nit en què la temperatura mínima és superior als 20 °C.']
nival,"['Relatiu a la neu, principalment per a referir-se al mantell nival, la capa de neu acumulada a terra després d’una nevada.']"
nivell,"['En la pràctica, el mot nivell s’usa com a equivalent d’altitud. Rigorosament, però, una superfície de nivell no ho és d’igual altitud, sinó d’igual geopotencial.']"
nivell de condensació,"['Altitud a la qual una massa d’aire assoleix, per expansió adiabàtica, una temperatura prou baixa perquè es formi boira o núvol. En els fenòmens de convecció diürna, és el nivell de la base dels cúmulus.']"
nivell de condensació per elevació,['Nivell de condensació.']
nivell de condensació convectiu,['Altitud a la qual es forma un núvol de desenvolupament vertical a causa de l’ascens de l’aire calent per convecció.']
nivell de congelació,['Nivell de l’atmosfera on es produeix la congelació de l’aigua.']
nivell de convergència nul·la,['Nivell de l’atmosfera al voltant dels 600 hPa en el qual no hi ha ni convergència ni divergència.']
nivell de convecció lliure,"['Altitud a partir de la qual una parcel·la d’aire que ascendeix de forma adiabàtica ho continuarà fent lliurement sense necessitat de forçament, pel fet de trobar-se en un ambient de menor temperatura.']"
nivell de divergència nul·la,['Nivell de convergència nul·la.']
nivell de fusió,['Nivell de l’atmosfera on es produeix la fusió del glaç.']
nivell de pressió estàndard,"['Nivell d’una superfície isobàrica en la qual la pressió atmosfèrica s’ha fixat amb un valor determinat acceptat per conveni internacional, a fi d’aconseguir una representació i una anàlisi uniformes de la pressió atmosfèrica.']"
nivell de vol,"['Altitud a la qual vola una aeronau referenciada a una pressió de 1.013,25 hPa. En anglès s’expressa amb la sigla FL (fly level) seguida dels hectopeus; per exemple, FL75 indica un nivell de vol de 75.000 peus.']"
nivell del mar,"['Se sol prendre com a nivell del mar el nivell mitjà que resulta d’una llarga sèrie d’observacions en un lloc determinat de la costa. A causa dels vents, de les marees, dels corrents marins i de la diferència de pressió atmosfèrica i de densitat de l’aigua, el nivell mitjà del mar en llocs diferents no és el mateix, sinó que d’uns llocs als altres li corresponen superfícies equipotencials diferents. Per a les reduccions meteorològiques, aquestes diferències no solen tenir cap transcendència. En les cartes hidrogràfiques i per motius de la seguretat de la navegació, es pren a vegades com a nivell del mar per a la marcació de les sondes, una superfície més baixa que la del nivell mitjà (p. ex., la de les baixes marees).']"
nivell MINTRA,['Altitud a partir de la qual un avió forma un deixant de condensació.']
nivell isopícnic,['Nivell de l’atmosfera on la densitat de l’aire es manté constant.']
nivòmetre,['Aparell per a mesurar la quantitat de neu caiguda.']
normal,"['Mitjana aritmètica dels valors d’una variable meteorològica en un lloc determinat. Pot referir-se a l’any, a un mes o a una data. Per tal que aquesta mitjana pugui ésser considerada com a «normal», cal que la durada de la sèrie d’observacions sia prou llarga perquè la inclusió de més anys no fes variar sensiblement el resultat. Aquesta durada depèn de la variable considerada i de les condicions del clima; pot ésser més petita en els climes tropicals que en els temperats, i és molt més gran per a les pluges que per a les temperatures. Ordinàriament s’accepta per a una bona normal, anual o mensual, un període de 35 anys seguits (o més per a les pluges).']"
Norte,['Nom en castellà d’un vent sec i fred del N que bufa en el golf de Mèxic.']
nucleació,"['Procés pel qual el vapor d’aigua passa a aigua o glaç, o bé l’aigua passa a glaç al voltant de partícules en suspensió a l’atmosfera.']"
nucli atmosfèric,['Partícula en suspensió a l’atmosfera que permet la nucleació.']
nucli d’Aitken,"['Nucli atmosfèric que té un radi més petit de 0,5 µm.']"
nucli de combustió,"['Nucli atmosfèric format per combustió, que té un radi més gran de 0,5 µm.']"
nucli de condensació,"['Corpuscles, generalment molt higroscòpics, damunt els quals s’inicia la condensació del vapor d’aigua atmosfèric en forma de gotes, quan el grau higromètric és suficientment alt.']"
nucli de congelació,['Nucli atmosfèric sobre el qual es produeix congelació d’aigua líquida.']
nucli higroscòpic,['Nucli atmosfèric que és capaç d’absorbir vapor d’aigua i així afavorir la condensació.']
nucli de sublimació,"['Partícules petitíssimes, que se suposen cristal·litzades en el sistema hexagonal (com és el cas dels cristalls de quars) damunt les quals comença a dipositar-se en forma de glaç el vapor d’aigua atmosfèric quan el grau higromètric és suficientment alt i la temperatura inferior a 0 °C.']"
nucli de variació,"['Regió de la superfície terrestre on, en un moment donat, és més gran la variació baromètrica. Pot ésser un nucli de baixa si la pressió ha baixat, o d’alça si ha pujat.']"
nucli de baixa,['Vegeu nucli de variació.']
nucli d’alça,['Vegeu nucli de variació.']
nus,"['Unitat de mesurament de la velocitat del vent, identificada amb kn (aproximadament 1 kn = 1.852 kmh-1).']"
núvol,"['Massa d’aire a l’atmosfera lliure on té lloc la condensació del vapor d’aigua contingut en l’aire.', 'Estat de l’aire en el qual hi ha un conjunt de gotetes o cristalls de glaç d’uns 10 µm de radi, que es troben en suspensió a l’atmosfera, en nombre mitjà aproximat de 100 per cm3.', 'Es distingeix de la boira en el fet que no toca a terra. La classificació dels núvols universalment adoptada és la de l’Atles internacional dels núvols i dels estats del cel.']"
núvol accessori,['Núvol que acompanya altres núvols més grans.']
núvol alt,"['Núvol situat en el pis de núvols que es troba entre els 3 i els 8 km d’altitud a les regions polars, entre els 5 i els 13 km a les regions temperades i entre els 6 i els 18 km a les regions tropicals. Aquest grup comprèn els cirrus, els cirrocúmulus i els cirroestratus.']"
núvol baix,"['Núvol situat en el pis de núvols que es troba entre la superfície terrestre i els 2 km d’altitud. Aquest grup comprèn els estratocúmulus, els estratus i els cúmulus i cumulonimbus.']"
núvol bandera,['Núvol estacionari que forma annexos al cim d’una muntanya aïllada i que acostuma a estendre’s per sobre de la vessant de sotavent i presenta una forma arrodonida per l’acció del vent.']
núvol en banderola,['Núvol bandera.']
núvol càlid,"['Núvol que es troba completament a una temperatura superior als 0 °C i, per tant, està format per gotes i gotetes d’aigua líquida.']"
